# Datacard for <Channel (SR1fail2018) instance at 0x7f5a651a8640> generated on 2024-12-08 17:57:58.200605
imax 1 # number of categories ('bins' but here we are using shape templates)
jmax 9 # number of samples minus 1
kmax 87 # number of nuisance parameters
shapes * SR1fail2018 shapes2018.root shapes2018:SR1fail2018_$PROCESS shapes2018:SR1fail2018_$PROCESS_$SYSTEMATIC
bin SR1fail2018
observation 2244.000
bin                                                SR1fail2018    SR1fail2018    SR1fail2018    SR1fail2018    SR1fail2018    SR1fail2018    SR1fail2018    SR1fail2018    SR1fail2018  SR1fail2018
process                                                     WH             ZH            ggF            ttH       WJetsLNu          TTbar      SingleTop         DYJets        Diboson         fake
process                                                     -3             -2             -1              0              1              2              3              4              5            6
CMS_scale_j_BBEC1_2018 lnN                              1.0186         1.0155         1.0186         1.0123         1.0047         1.0026         0.9973         1.0106         1.0037            -
CMS_scale_j_EC2 lnN                                     1.0169         1.0162         1.0169         1.0163         1.0033         1.0030         1.0024         1.0058         1.0037            -
CMS_scale_j_EC2_2018 lnN                                1.0165         1.0157         1.0170         1.0187         1.0036         1.0034         1.0024         1.0116         1.0037            -
CMS_scale_j_FlavQCD lnN                                 1.0184         1.0139         1.0185         1.0234         1.0038         1.0000         0.9863         1.0257         1.0037            -
CMS_scale_j_HF lnN                                      1.0190         1.0170         1.0185         1.0175         1.0034         1.0036         0.9973         0.9997         1.0037            -
CMS_scale_j_HF_2018 lnN                                 1.0174         1.0163         1.0174         1.0175         1.0035         1.0034         1.0024         1.0052         1.0037            -
CMS_scale_j_RelBal lnN                                  1.0195         1.0160         1.0184         1.0162         1.0054         1.0024         0.9915         1.0154         1.0037            -
CMS_scale_j_RelSample_2018 lnN                          1.0208         1.0143         1.0182         1.0214         1.0074         1.0024         1.0003         1.0224         0.9967            -
PDF_WH_ACCEPT_CMS_HWW_boosted shape                     1.0000              -              -              -              -              -              -              -              -            -
PDF_ZH_ACCEPT_CMS_HWW_boosted shape                          -         1.0000              -              -              -              -              -              -              -            -
PDF_ggH_ACCEPT_CMS_HWW_boosted shape                         -              -         1.0000              -              -              -              -              -              -            -
PDF_singletop_ACCEPT_CMS_HWW_boosted shape                   -              -              -              -              -              -         1.0000              -              -            -
PDF_ttH_ACCEPT_CMS_HWW_boosted shape                         -              -              -         1.0000              -              -              -              -              -            -
PDF_ttbar_ACCEPT_CMS_HWW_boosted shape                       -              -              -              -              -         1.0000              -              -              -            -
PDF_wjets_ACCEPT_CMS_HWW_boosted shape                       -              -              -              -         1.0000              -              -              -              -            -
QCDscale_WH lnN                                  0.9930/1.0050              -              -              -              -              -              -              -              -            -
QCDscale_WH_ACCEPT_CMS_HWW_boosted shape                1.0000              -              -              -              -              -              -              -              -            -
QCDscale_ZH lnN                                              -  0.9700/1.0380              -              -              -              -              -              -              -            -
QCDscale_ZH_ACCEPT_CMS_HWW_boosted shape                     -         1.0000              -              -              -              -              -              -              -            -
QCDscale_ggF lnN                                             -              -         1.0390              -              -              -              -              -              -            -
QCDscale_ggH_ACCEPT_CMS_HWW_boosted shape                    -              -         1.0000              -              -              -              -              -              -            -
QCDscale_singletop_ACCEPT_CMS_HWW_boosted shape              -              -              -              -              -              -         1.0000              -              -            -
QCDscale_ttH lnN                                             -              -              -  0.9080/1.0580              -              -              -              -              -            -
QCDscale_ttH_ACCEPT_CMS_HWW_boosted shape                    -              -              -         1.0000              -              -              -              -              -            -
QCDscale_ttbar_ACCEPT_CMS_HWW_boosted shape                  -              -              -              -              -         1.0000              -              -              -            -
QCDscale_wjets_ACCEPT_CMS_HWW_boosted shape                  -              -              -              -         1.0000              -              -              -              -            -
alpha_s lnN                                             1.0090         1.0090         1.0260         1.0200              -              -              -              -              -            -
pdf_Higgs_WH lnN                                 0.9930/1.0170              -              -              -              -              -              -              -              -            -
pdf_Higgs_ZH lnN                                             -  0.9700/1.0130              -              -              -              -              -              -              -            -
pdf_Higgs_ggH lnN                                            -              -         1.0190              -              -              -              -              -              -            -
pdf_Higgs_ttH lnN                                            -              -              -  0.9080/1.0300              -              -              -              -              -            -
ps_fsr_WH shape                                         1.0000              -              -              -              -              -              -              -              -            -
ps_fsr_ZH shape                                              -         1.0000              -              -              -              -              -              -              -            -
ps_fsr_ggH shape                                             -              -         1.0000              -              -              -              -              -              -            -
ps_fsr_singletop shape                                       -              -              -              -              -              -         1.0000              -              -            -
ps_fsr_ttH shape                                             -              -              -         1.0000              -              -              -              -              -            -
ps_fsr_ttbar shape                                           -              -              -              -              -         1.0000              -              -              -            -
ps_fsr_wjets shape                                           -              -              -              -         1.0000              -              -              -              -            -
