# Datacard for <Channel (SR1fail2016) instance at 0x7f8245214ac0> generated on 2024-12-08 17:55:29.060227
imax 1 # number of categories ('bins' but here we are using shape templates)
jmax 9 # number of samples minus 1
kmax 89 # number of nuisance parameters
shapes * SR1fail2016 shapes2016.root shapes2016:SR1fail2016_$PROCESS shapes2016:SR1fail2016_$PROCESS_$SYSTEMATIC
bin SR1fail2016
observation 587.000
bin                                                SR1fail2016    SR1fail2016    SR1fail2016    SR1fail2016    SR1fail2016    SR1fail2016    SR1fail2016    SR1fail2016    SR1fail2016    SR1fail2016
process                                                     WH             ZH            VBF            ggF            ttH       WJetsLNu          TTbar      SingleTop         DYJets        Diboson
process                                                     -4             -3             -2             -1              0              1              2              3              4              5
CMS_scale_j_EC2_2016 lnN                                1.0132         1.0162         1.0164         1.0164         1.0187         0.9971         0.9972         0.9990         0.9944         1.0034
CMS_scale_j_FlavQCD lnN                                 1.0071         1.0150         0.9905         1.0109         1.0222         0.9979         0.9973         1.0344         1.0099         0.9818
CMS_scale_j_HF lnN                                      1.0152         1.0169         1.0164         1.0164         1.0218         0.9965         0.9975         0.9990         0.9949         1.0034
CMS_scale_j_HF_2016 lnN                                 1.0163         1.0164         1.0164         1.0164         1.0209         0.9970         0.9972         0.9990         0.9949         1.0034
CMS_scale_j_RelBal lnN                                  1.0080         1.0182         1.0080         1.0163         1.0238         0.9982         0.9978         0.9990         0.9938         0.9950
CMS_scale_j_RelSample_2016 lnN                          1.0097         1.0189         0.9905         1.0082         1.0236         1.0009         0.9971         0.9990         0.9915         0.9818
PDF_WH_ACCEPT_CMS_HWW_boosted shape                     1.0000              -              -              -              -              -              -              -              -              -
PDF_ZH_ACCEPT_CMS_HWW_boosted shape                          -         1.0000              -              -              -              -              -              -              -              -
PDF_ggH_ACCEPT_CMS_HWW_boosted shape                         -              -              -         1.0000              -              -              -              -              -              -
PDF_qqH_ACCEPT_CMS_HWW_boosted shape                         -              -         1.0000              -              -              -              -              -              -              -
